CMDLINE python main.py
MEM 46.187500 1569653791.6213
MEM 46.187500 1569653791.7254
MEM 46.187500 1569653791.8291
MEM 46.187500 1569653791.9327
MEM 46.187500 1569653792.0369
MEM 46.187500 1569653792.1406
MEM 46.187500 1569653792.2452
MEM 46.187500 1569653792.3484
MEM 46.187500 1569653792.4526
MEM 46.187500 1569653792.5562
MEM 46.187500 1569653792.6614
MEM 46.187500 1569653792.7645
MEM 46.187500 1569653792.8677
MEM 46.187500 1569653792.9719
MEM 46.187500 1569653793.0760
MEM 46.187500 1569653793.1807
MEM 46.187500 1569653793.2848
MEM 46.187500 1569653793.3885
MEM 46.187500 1569653793.4922
MEM 46.187500 1569653793.5963
MEM 46.187500 1569653793.7010
MEM 46.187500 1569653793.8042
MEM 46.187500 1569653793.9083
MEM 46.187500 1569653794.0130
MEM 46.187500 1569653794.1166
MEM 46.187500 1569653794.2208
MEM 46.187500 1569653794.3250
MEM 46.187500 1569653794.4291
MEM 46.187500 1569653794.5333
MEM 46.187500 1569653794.6374
MEM 46.187500 1569653794.7416
MEM 46.187500 1569653794.8453
MEM 46.187500 1569653794.9494
MEM 46.187500 1569653795.0531
MEM 46.187500 1569653795.1562
MEM 46.187500 1569653795.2609
MEM 46.187500 1569653795.3646
MEM 46.187500 1569653795.4683
MEM 46.187500 1569653795.5719
MEM 46.187500 1569653795.6761
MEM 46.187500 1569653795.7797
MEM 46.187500 1569653795.8834
MEM 46.187500 1569653795.9871
MEM 46.187500 1569653796.0912
MEM 46.187500 1569653796.1954
MEM 46.187500 1569653796.2991
MEM 46.187500 1569653796.4032
MEM 46.187500 1569653796.5074
MEM 46.187500 1569653796.6120
MEM 46.187500 1569653796.7157
MEM 46.187500 1569653796.8193
MEM 46.187500 1569653796.9235
MEM 46.187500 1569653797.0277
MEM 46.187500 1569653797.1313
MEM 46.187500 1569653797.2350
MEM 46.187500 1569653797.3392
MEM 46.187500 1569653797.4433
MEM 46.187500 1569653797.5470
MEM 46.187500 1569653797.6506
MEM 46.187500 1569653797.7548
MEM 46.187500 1569653797.8590
MEM 46.187500 1569653797.9636
MEM 46.187500 1569653798.0673
